CCLE Cell Line Name	Compound	Doses (uM)	Activity Data (median)	EC50 (uM)	IC50 (uM)	ActArea
OVCAR8_OVARY	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-8.8,4.18,4.36,-3.2,3.91,-.95,-3.9,-84	7.824119568	6.164680958	0.9127
OVMANA_OVARY	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.1,-6.3,-6.3,-6.8,-2.1,-6.1,.65,-46	8.116646873	8.0	0.7517
OVSAHO_OVARY	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.1,6.51,12.2,9.63,25.3,31.4,15.5,-41	6.48171854	8.0	0.3679
OVTOKO_OVARY	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-48,7.39,-.64,7.79,-1.3,10.2,1.81,-32	4.839784145	8.0	0.7373
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.1,-5.6,10.5,.23,18.5,-1.4,-3.2,-88	8.292140686	6.101369381	1.325
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	.29,7.62,-16,18.9,20.3,7.23,-.79,-92	4.058861256	4.265406132	1.1751
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-30,-3.4,2.96,11.7,1.45,7.76,-5.3,12.8		8.0	0.2461
PANC0203_PANCREAS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	9.46,3.38,.11,9.98,6.92,19.4,-1.1,-57	4.001616955	5.704259872	0.5173
PANC0327_PANCREAS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.7,2.88,-5.9,-5.0,-12,-9.6,-4.3,-12		8.0	0.1145
PANC0403_PANCREAS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,-.92,-19,8.09,-17,8.82,-1.1,-64		0.993234644	0.4002
PANC1005_PANCREAS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-15,-17,1.53,6.72,20.7,14.3,14.8,-56		2.948683799	0.7027
PATU8902_PANCREAS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.5,-2.5,-8.8,1.37,3.05,16.9,3.22,-32	7.863037586	8.0	0.4794
PC14_LUNG	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-12,-5.1,-4.4,-4.2,5.25,10.3,13.2,-15		8.0	0.4259
PC3_PROSTATE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-23,-6.1,.97,-12,.65,7.51,9.75,-33	8.460008431	8.0	0.4568
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,-.73,11.1,8.12,16.8,14.4,-3.8,-3.7		8.0	0.06782
PK1_PANCREAS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.0,-3.9,-2.6,.88,3.98,.12,11.0,-40	8.040866064	8.0	0.6839
PK45H_PANCREAS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.2,-6.5,3.60,8.55,17.5,15.0,28.2,8.93		8.0	0.06274
PK59_PANCREAS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	1.00,-1.1,-2.2,5.58,7.20,10.5,5.11,-41	8.109154582	8.0	0.3679
PL45_PANCREAS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-20,14.4,15.8,.79,10.6,10.9,14.1,18.3		8.0	0.2544
PLCPRF5_LIVER	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-22,6.99,.79,8.15,-2.9,2.86,-4.7,-36	3.704654217	8.0	0.4683
PSN1_PANCREAS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-22,-2.0,-8.1,4.02,-5.3,3.76,-.21,-3.2		8.0	0.2279
QGP1_PANCREAS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-22,-11,24.4,-1.4,31.2,23.1,22.4,-29		8.0	0.5314
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	7.69,1.68,30.5,11.3,11.4,9.57,6.25,9.02		8.0	0.03069
RD_SOFT_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.3,-7.8,-7.3,.70,15.7,6.58,8.49,-21	8.165991314	8.0	0.4051
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.1,15.3,3.88,4.56,6.10,13.7,9.81,-42	7.533650875	8.0	0.4783
RERFGC1B_STOMACH	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.6,-13,19.0,2.48,40.7,33.2,46.8,1.85		8.0	0.1891
RERFLCAI_LUNG	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.5,-.71,2.29,2.32,10.5,13.8,5.80,-12		8.0	0.03211
RERFLCMS_LUNG	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,-.64,24.9,1.48,9.74,18.6,26.3,22.7		8.0	0.07522
RKN_OVARY	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-8.7,-1.5,6.94,-6.2,-7.1,-8.8,-20,-42	8.209430531	8.0	0.4223
RKO_LARGE_INTESTINE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-28,-9.4,-1.1,-3.0,3.11,-1.4,2.93,-49	7.86400795	8.0	0.8653
RL952_ENDOMETRIUM	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,6.13,2.60,10.2,36.3,46.2,38.8,25.7		8.0	0.1355
RPMI7951_SKIN	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-16,.98,14.1,13.3,14.2,5.08,6.73,-11		8.0	0.1968
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	.94,-15,-8.6,.25,6.52,2.31,-5.1,-63	4.306643486	5.420713425	1.1083
RT112_URINARY_TRACT	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	3.34,4.70,3.19,2.27,22.1,17.3,-1.0,-67	3.879951239	4.822282791	0.6547
RT4_URINARY_TRACT	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-17,11.7,16.5,17.8,6.17,40.4,-.31,-78		0.190259154	0.9329
RVH421_SKIN	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-.028,-6.3,6.49,3.12,.36,2.82,5.95,-6.2		8.0	0.0
SAOS2_BONE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	10.5,-10,1.78,-8.7,15.1,-1.5,35.3,-39	8.103832678	8.0	0.4878
SBC5_LUNG	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-7.1,-4.2,-.15,-1.3,8.78,4.57,-8.9,-61	3.811826944	5.130649567	0.539
SCABER_URINARY_TRACT	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,-16,-1.1,7.52,6.36,1.27,15.2,-31		8.0	0.6011
SCC25_UPPER_AERODIGESTIVE_TRACT	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-19,-13,-8.8,15.6,12.5,1.20,8.03,14.9		8.0	0.3316
SCC9_UPPER_AERODIGESTIVE_TRACT	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	.78,7.91,11.5,-20,8.83,.67,30.6,13.8		8.0	0.2901
SF126_CENTRAL_NERVOUS_SYSTEM	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.0,.72,1.54,6.98,4.37,5.31,.74,-62	5.087030411	6.239183426	0.5917
SF295_CENTRAL_NERVOUS_SYSTEM	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	4.08,-.90,-7.8,-2.9,1.31,7.54,9.14,-37	8.013196391	8.0	0.2399
SF8657	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	18.5,-2.5,2.75,1.85,3.83,8.41,2.90,1.87		8.0	0.0
SH10TC_STOMACH	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.5,-30,-5.6,-16,-5.3,-5.0,3.43,-39		8.0	0.6857
SHP77_LUNG	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	4.57,-4.4,9.69,-5.6,12.8,-1.4,21.8,11.8		8.0	0.04803
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	5.35,-15,-13,4.21,19.5,-9.3,-13,-94	7.310781956	5.054609299	2.421
SIMA_AUTONOMIC_GANGLIA	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.1,-31,-17,-6.9,28.1,9.68,25.7,-55		4.717532419	1.1921
SJRH30_SOFT_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.5,-3.3,4.17,-14,8.58,1.70,3.82,-52	7.550191879	7.896643639	0.5737
SJSA1_BONE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-12,-12,1.67,-4.6,-3.6,-12,7.25,-20		8.0	0.9267
SKBR3_BREAST	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,1.83,-14,-13,-7.2,-6.9,-.39,-47	8.042423912	8.0	0.7789
SKCO1_LARGE_INTESTINE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-19,6.31,-17,9.71,17.1,30.1,-4.0,16.2		8.0	0.448
SKES1_BONE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-23,13.4,1.26,17.9,-1.3,28.3,4.02,-35	7.291844368	8.0	0.5736
SKHEP1_LIVER	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	.74,-3.3,21.3,-11,16.9,8.83,18.0,-15		8.0	0.3457
SKLMS1_SOFT_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-15,-13,-7.4,.96,8.20,26.2,21.5,1.13		8.0	0.3121
SKLU1_LUNG	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	.94,-8.4,6.67,-2.6,16.2,20.9,22.0,15.5		8.0	0.02507
SKMEL2_SKIN	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	25.1,-20,-4.9,-27,-5.5,5.13,1.95,5.48		8.0	0.8119
SKMEL24_SKIN	Sorafenib	.0080,.025,.080,.25,.80,2.53,8	3.66,12.4,-1.7,-11,19.7,7.37,14.1		8.0	0.06075
SKMEL30_SKIN	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-8.2,-2.2,1.90,2.58,8.94,-3.6,-2.1,-57	7.465999603	7.425682068	0.4895
SKMEL31_SKIN	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	6.87,-2.0,-3.7,12.0,-5.7,13.4,2.37,-1.8		8.0	0.09934
SKMEL5_SKIN	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.5,-14,-7.6,-13,-1.9,-5.7,2.65,-65	7.107354641	7.074476242	0.9226
SKMES1_LUNG	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	15.9,-.21,-14,-12,14.8,-.35,.91,-4.3		8.0	0.5808
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.2,-.041,-3.3,-.14,7.52,4.10,-4.4,-77	4.331678391	4.777966022	0.9437
SKNAS_AUTONOMIC_GANGLIA	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-12,-5.5,7.58,6.56,6.99,15.1,3.08,-29	6.264867306	8.0	0.3163
SKNBE2_AUTONOMIC_GANGLIA	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	8.24,13.8,-3.1,15.1,36.7,-2.7,4.59,-40		8.0	0.3857
SKNDZ_AUTONOMIC_GANGLIA	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.1,2.81,-.46,5.85,1.43,14.3,9.32,-6.1		8.0	0.154
SKNFI_AUTONOMIC_GANGLIA	Sorafenib	.0025,.025,.080,.25,.80,2.53,8	-6.3,-13,19.9,-1.0,-4.1,4.09,50.3		8.0	0.5742
SKNSH_AUTONOMIC_GANGLIA	Sorafenib	.0080,.025,.080,.25,.80,2.53,8	-24,4.07,-12,13.6,-10,-20,-40	3.038823843	8.0	1.011
SKOV3_OVARY	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	10.5,-6.2,-6.5,-19,27.5,2.62,21.8,-2.1		8.0	0.4214
SNGM_ENDOMETRIUM	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.0,4.22,2.16,-9.0,9.35,5.13,-3.4,-31	3.344414473	8.0	0.4755
SNU1_STOMACH	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-14,-3.2,.81,3.90,5.59,3.11,-18,-68	3.151108027	3.844271421	0.8939
SNU16_STOMACH	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-20,-11,7.13,-5.8,22.7,-24,1.38,-46		8.0	1.1606
SNU182_LIVER	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.3,-2.4,7.76,4.27,4.05,11.4,1.01,1.85		8.0	0.04995
SNU387_LIVER	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	3.08,-6.4,-20,6.95,-17,23.8,.96,9.27		8.0	0.7339
SNU398_LIVER	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.6,-11,12.4,6.97,12.2,15.4,41.8,-27		8.0	0.7151
SNU423_LIVER	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	2.88,-3.2,7.60,-7.7,20.5,3.87,25.9,11.8		8.0	0.06403
SNU449_LIVER	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-12,-2.1,-.35,4.94,.87,5.12,-11,-33	2.90982914	8.0	0.5036
SNU475_LIVER	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	27.5,-28,-16,-3.8,-33,20.1,56.0,19.8		8.0	1.0406
SNUC2A_LARGE_INTESTINE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	15.3,-15,1.19,-25,26.7,7.02,17.3,-33		8.0	0.6656
SNUC2B	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	12.7,-4.4,4.55,-2.0,42.3,26.9,27.5,-22		8.0	0.2368
SQ1_LUNG	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	3.71,-17,-15,-17,4.91,-.57,2.86,-12		8.0	0.6838
SU8686_PANCREAS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.8,-6.6,5.94,-2.1,5.18,-5.1,2.63,-11		8.0	0.2178
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-17,10.6,-1.7,15.5,15.7,70.4,67.7,-1.4		8.0	0.01542
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.0,5.65,-3.7,4.31,5.66,-2.2,-21,-82	5.239301205	4.566555023	1.8441
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	16.6,23.0,-11,-2.1,6.15,20.4,96.3,-56		5.623217879	0.8653
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	15.8,9.43,9.01,2.37,-21,-28,-22,-63		2.223050764	1.6194
SUIT2_PANCREAS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.0,-11,.91,-1.1,4.92,-2.6,2.15,-64	7.970982075	7.185978889	0.6344
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-15,2.88,-1.9,1.36,6.48,-.21,13.2,19.2		8.0	0.04683
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,-8.4,9.01,2.46,10.4,2.56,2.93,-.81		8.0	0.05822
SW1088_CENTRAL_NERVOUS_SYSTEM	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.9,10.0,-6.8,-11,14.3,26.8,19.1,30.0		8.0	0.0797
SW1271_LUNG	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	6.92,7.66,-14,-3.7,6.88,1.45,23.1,-16		8.0	0.3072
SW1353_BONE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-20,2.14,-10,.96,4.91,31.9,21.6,7.76		8.0	0.3081
SW1417_LARGE_INTESTINE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.1,-21,3.88,24.1,-28,12.9,16.0,-39		8.0	0.8551
SW1573_LUNG	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-15,-12,5.22,6.54,12.8,18.6,18.8,-7.0		8.0	0.3386
SW1990_PANCREAS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.3,2.21,5.10,-1.7,-2.9,8.08,5.06,-13		8.0	0.06581
SW403_LARGE_INTESTINE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-21,-6.8,20.3,21.3,13.3,18.0,24.3,5.09		8.0	0.003239
SW48_LARGE_INTESTINE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.7,-24,26.5,1.75,34.7,49.7,62.0,15.6		8.0	0.5355
SW480_LARGE_INTESTINE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	6.19,7.39,9.81,-10,-2.2,-3.3,-5.3,-51	8.402410752	7.946047783	0.3728
SW579_THYROID	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,-10,.51,-24,-21,-50,-48,-51	0.309933871	8.0	1.8088
SW620_LARGE_INTESTINE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-18,6.77,-.28,15.1,20.4,42.7,18.2,-30		8.0	0.4125
SW780_URINARY_TRACT	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	14.2,.33,-12,4.91,11.6,19.3,12.4,4.59		8.0	0.1231
SW900_LUNG	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-39,-15,-8.1,6.33,-14,1.41,-4.4,5.21		8.0	0.4596
T24_URINARY_TRACT	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.5,-.77,.22,3.53,13.6,18.9,14.8,-26	7.139532089	8.0	0.5063
T3M10_LUNG	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	17.2,-2.8,1.77,-6.1,13.4,19.7,36.8,21.3		8.0	0.0
T47D_BREAST	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-22,32.0,-4.6,3.15,10.6,6.00,-13,1.08		8.0	0.427
T84_LARGE_INTESTINE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	79.1,16.4,36.5,2.18,-2.9,46.5,-27,142		8.0	0.614
T98G_CENTRAL_NERVOUS_SYSTEM	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.0,3.44,-.089,-2.6,-4.2,-8.5,-15,-43	8.52354058	8.0	1.0637
TC71_BONE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	10.8,-7.0,7.08,-5.9,.21,-3.2,2.03,-5.5		8.0	0.007735
TCCSUP_URINARY_TRACT	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.3,.82,1.50,-1.7,-.95,-1.2,15.2,-12		8.0	0.01622
TE1_OESOPHAGUS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-10,1.07,-.47,-1.2,3.29,7.32,8.29,-12		8.0	0.2454
TE11_OESOPHAGUS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-31,-14,-1.1,.59,19.8,21.2,21.9,-12		8.0	0.5301
TE15_OESOPHAGUS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.7,14.5,-15,-25,20.1,23.0,15.1,7.57		8.0	0.4139
TE5_OESOPHAGUS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-14,-7.0,3.28,-4.2,4.60,9.67,5.71,-1.9		8.0	0.2589
TE617T_SOFT_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.4,-5.1,21.5,-1.8,9.73,10.3,1.39,-79	5.474927425	5.759644985	0.9072
TE9_OESOPHAGUS	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-7.8,2.43,-.086,-3.0,5.58,11.2,7.15,-64	7.49842453	7.270143032	0.6806
TEN_ENDOMETRIUM	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	33.9,11.3,16.8,20.0,19.4,29.9,28.8,38.3		8.0	0.0
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	12.8,3.80,16.0,19.8,2.47,-5.0,-2.4,6.87		8.0	0.02052
TOV112D_OVARY	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	1.84,-6.0,-2.7,-13,-5.0,-11,-13,-57	8.179209829	7.147336483	0.9695
TOV21G_OVARY	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-15,-4.2,-4.1,-.65,-3.9,2.44,.86,-66	8.044984465	7.684823513	1.0759
TT2609C02_THYROID	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-22,27.7,31.6,30.4,14.6,42.7,-24,-25		8.0	0.5484
TYKNU_OVARY	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	7.04,1.11,2.58,3.25,.53,-.075,13.2,-56	8.046138967	7.718305111	0.5322
U118MG_CENTRAL_NERVOUS_SYSTEM	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-18,-6.1,8.24,4.03,-.29,13.4,11.0,17.5		8.0	0.2384
U2OS_BONE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.8,.42,-7.4,-6.4,10.5,9.42,12.2,-31	7.162780285	8.0	0.5541
U87MG_CENTRAL_NERVOUS_SYSTEM	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-8.5,4.51,9.53,5.69,6.04,15.6,.64,2.12		8.0	0.2031
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-14,-4.0,-10,-1.8,-5.5,14.3,4.49,-36		8.0	0.7181
UACC257_SKIN	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-32,-.65,-7.7,-.60,-2.6,8.38,-12,-.15		8.0	0.3558
UACC62_SKIN	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.5,10.6,-11,-.44,17.1,12.9,6.69,-17		8.0	0.398
UACC812_BREAST	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-12,-3.6,8.77,.86,-1.8,20.1,21.3,-39		8.0	0.2783
UMUC3_URINARY_TRACT	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-12,2.57,-6.3,-.43,-3.5,7.90,-11,3.69		8.0	0.2574
VMRCLCD_LUNG	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	2.40,-11,8.88,-3.9,31.0,3.53,34.1,-9.6		8.0	0.8458
VMRCRCW_KIDNEY	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.6,-15,7.91,-23,4.64,-6.8,-.29,-67	7.867411137	7.122237206	0.9115
VMRCRCZ_KIDNEY	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	3.12,-12,-11,-16,26.4,-7.7,.68,-23		8.0	0.8126
WM115_SKIN	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-32,-5.2,9.85,11.4,14.8,6.66,1.75,12.9		8.0	0.3239
WM1799_SKIN	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-15,-8.5,-18,-11,-11,-7.8,-.70,-17		8.0	1.0246
WM2664_SKIN	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.5,-4.4,-6.8,-.77,-7.0,6.22,-.37,-1.2		8.0	0.1223
WM793_SKIN	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.0,-.31,5.99,9.08,-7.7,9.37,-9.9,-1.8		8.0	0.1739
WM88_SKIN	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.4,-4.3,2.32,3.46,4.82,6.65,-13,-44	2.934004784	8.0	0.7236
WM983B_SKIN	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-35,12.2,14.4,1.30,27.1,-.42,2.68,-57	7.042369843	7.312819004	1.4692
YKG1_CENTRAL_NERVOUS_SYSTEM	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-15,-7.7,-2.0,-2.6,5.29,6.18,7.52,4.95		8.0	0.2007
ZR751_BREAST	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-16,-13,10.4,-6.9,34.0,22.5,13.2,-4.8		8.0	0.8454
ZR7530_BREAST	Sorafenib	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.2,.42,-6.0,-9.9,8.75,-.17,15.9,-94		0.17081114	0.7984
22RV1_PROSTATE	Irinotecan	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.0,-44,9.21,-49,-83,-90,-85,-92	0.078334875	0.080764666	4.389
5637_URINARY_TRACT	Irinotecan	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.7,-12,-6.4,-62,-74,-95,-96,-96	0.067720294	0.06704437	3.3621
639V_URINARY_TRACT	Irinotecan	.0025,.0080,.025,.080,.25,.80,2.53,8	-14,-5.4,-10,-57,-87,-91,-94,-94	0.06766881	0.069568723	4.5677
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Irinotecan	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.7,-4.3,-24,-93,-95,-96,-97,-96	0.035028514	0.034992039	5.5188
769P_KIDNEY	Irinotecan	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.6,5.08,1.54,-9.1,-21,-49,-87,-92	0.70194459	0.740817904	1.8827
786O_KIDNEY	Irinotecan	.0025,.0080,.025,.080,.25,.80,2.53,8	3.08,-4.9,4.81,2.13,-59,-82,-87,-90	0.176553965	0.209220141	3.0887
8305C_THYROID	Irinotecan	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.1,-7.7,-4.1,-.76,-32,-64,-74,-86	0.402237684	0.502822995	2.8908
8505C_THYROID	Irinotecan	.0025,.0080,.025,.080,.25,.80,2.53,8	-.16,-8.3,-7.7,-28,-79,-90,-92,-90	0.118262023	0.124696016	3.8186
A172_CENTRAL_NERVOUS_SYSTEM	Irinotecan	.0025,.0080,.025,.080,.25,.80,2.53,8	2.61,-4.3,-36,-6.1,-25,-64,-71,-80	0.372975737	0.508602798	2.5153
